time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,11,6,28.0,4.0
2023-09-16 00:00:00+00:00,4,3,,
2023-09-17 00:00:00+00:00,3,3,,
2023-09-18 00:00:00+00:00,18,9,143.0,4.0
2023-09-19 00:00:00+00:00,12,9,17.0,4.0
2023-09-20 00:00:00+00:00,7,6,28.0,4.0
2023-09-21 00:00:00+00:00,5,3,13.0,2.0
2023-09-22 00:00:00+00:00,5,4,,
2023-09-23 00:00:00+00:00,2,2,1.0,1.0
2023-09-24 00:00:00+00:00,2,2,,
2023-09-25 00:00:00+00:00,39,10,86.0,3.0
2023-09-26 00:00:00+00:00,6,6,55.0,8.0
2023-09-27 00:00:00+00:00,12,9,16.0,3.0
2023-09-28 00:00:00+00:00,1,1,8.0,2.0
